Fecha,Hora,Placa,Certeza
2025-04-30,02:22:57,XKC.69,82.60
2025-04-30,02:22:58,XKC.69,82.11
2025-04-30,02:22:58,XKC.69,77.97
2025-04-30,02:22:59,XKC.69,52.40
2025-04-30,02:23:00,XKC.69,82.29
2025-04-30,02:23:00,XKC.69,82.29
2025-04-30,02:23:01,XKC.69,65.60
2025-04-30,02:23:01,XKC.69,65.60
2025-04-30,02:23:06,XKC.69,96.62
2025-04-30,02:23:06,XKC.69,96.62
2025-04-30,02:23:07,XKC.69,90.64
2025-04-30,02:23:07,XKC.69,90.64
2025-04-30,02:28:27,XKC.69,63.12
2025-04-30,02:28:29,XKC.69,88.23
2025-04-30,02:28:29,XKC.69,60.64
2025-04-30,02:47:52,XKC.69,72.92
2025-04-30,03:18:14,XKC.69,88.50
2025-04-30,03:18:14,XKC.69,71.73
